purpose_text,transaction_type
MAXIMA GROCERY PAYMENT,groceries
SYNLAB SERVICE PAYMENT,healthcare
COMPANY LTD BANK TRANSFER,salary
telia utility bill,utilities
rental agency monthly rent,rent
Apple July monthly subscription pay,subscription
Elisa January utility pay,utilities
lunch payment,restaurant
hesburger food delivery order,restaurant
AMAZON ONLINE PURCHASE,shopping
BENU CARD PAYMENT DOCTOR BILL,healthcare
synlab doctor bill,healthcare
Company Ltd November wage transfer salary pay,salary
TELIA BANK TRANSFER,subscription
Synlab doctor bill,healthcare
Employer card pay,salary
HESBURGER DINNER BILL,restaurant
Maxima card payment,groceries
Apple monthly subscription pay,subscription
Selver supermarket payment,groceries
Synlab medical payment,healthcare
Rental Agency card payment,rent
SPOTIFY GAME PURCHASE,entertainment
Confido pharmacy purchase,healthcare
Euronics online purchase,shopping
Rental Agency May bank transfer,rent
apotheka pharmacy purchase pharmacy purchase,healthcare
Apotheka medical payment doctor bill,healthcare
service payment McDonalds,restaurant
Telia monthly subscription pay,subscription
bank transfer synlab,healthcare
confido doctor bill,healthcare
AUGUST RECURRING SUBSCRIPTION,subscription
monthly salary payroll,salary
Apollo Cinema service pay,entertainment
benu medical payment,healthcare
order pay,shopping
AMAZON ONLINE SHOPPING,shopping
Elisa December utility bill utility pay,utilities
Netflix bank transfer movie ticket,entertainment
restaurant pay,restaurant
MCDONALDS CAFE PURCHASE,restaurant
Apple monthly sub payment,subscription
zalando invoice payment,shopping
YouTube December monthly sub payment,subscription
Telia invoice pay,utilities
apotheka pharmacy purchase,healthcare
amazon recurring subscription,subscription
Euronics service payment,shopping
Arvutitark inv payment online shopping,shopping
Apotheka bank transfer,healthcare
Lidl grocery payment,groceries
APPLE ONLINE SHOPPING ONLINE ORDER,shopping
service payment apotheka,healthcare
January service pay,subscription
Forus Taxi travel pay,transport
Employer August monthly salary,salary
Apollo Cinema movie ticket,entertainment
ENEFIT NOVEMBER CARD PAYMENT,utilities
landlord august rent payment,rent
steam movie ticket,entertainment
Coop service payment,groceries
Maxima grocery store purchase,groceries
playstation service payment,entertainment
apotheka medical payment,healthcare
arvutitark online purchase,shopping
monthly subscription payment Microsoft,subscription
elektrilevi october card payment,utilities
Vapiano service pay food delivery order,restaurant
Maxima grocery pay,groceries
Landlord August monthly rent,rent
Apple monthly subscription payment,subscription
synlab card payment medical payment,healthcare
Selver supermarket payment,groceries
EURONICS ORDER PAYMENT,shopping
EMPLOYER NOVEMBER WAGE TRANSFER,salary
STEAM GAME PURCHASE,entertainment
MCDONALDS DINNER BILL,restaurant
Hesburger cafe purchase,restaurant
selver grocery payment grocery store purchase,groceries
McDonalds service pay,restaurant
forus taxi ride invoice,transport
service payment Apotheka,healthcare
Rental Agency February monthly rent rental payment,rent
invoice pay YouTube,subscription
Coop bank transfer,groceries
PlayStation invoice pay,entertainment
Uber travel pay,transport
COMPANY LTD SEPTEMBER MONTHLY SALARY,salary
UTILITY BILL,utilities
hesburger service payment,restaurant
Benu service pay,healthcare
apollo cinema payment,entertainment
selver grocery store purchase,groceries
ride pay,transport
MCDONALDS RESTAURANT PAYMENT,restaurant
Spotify movie ticket,entertainment
BANK TRANSFER NETFLIX SUBSCRIPTION PAYMENT,subscription
ELEKTRILEVI UTILITY BILL,utilities
joyce card payment cafe purchase,restaurant
RENT PAYMENT,rent
online purchase,shopping
Rental Agency invoice payment,rent
apple online shopping,shopping
Lidl invoice pay,groceries
Telia card payment,subscription
card pay Apple online shopping,shopping
Euronics online shopping,shopping
SYNLAB DOCTOR BILL,healthcare
Employer inv payment,salary
Confido medical payment,healthcare
cinema payment,entertainment
CONCERT TICKET PLAYSTATION,entertainment
Coop grocery store purchase,groceries
BENU DOCTOR BILL,healthcare
benu card payment doctor bill,healthcare
Company Ltd invoice pay,salary
arvutitark online order,shopping
SALARY PAYMENT,salary
Elektrilevi October card pay,utilities
Euronics order pay,shopping
benu pharmacy purchase,healthcare
telia utility payment utility payment,utilities
Apollo Cinema concert ticket,entertainment
Payroll invoice pay,salary
RIDE INVOICE BOLT,transport
McDonalds restaurant payment,restaurant
apollo cinema bank transfer,entertainment
apple monthly subscription payment,subscription
euronics online shopping online shopping,shopping
grocery pay grocery store purchase,groceries
Payroll November card pay,salary
apple online shopping,shopping
Apple service pay,shopping
service payment arvutitark,shopping
ENEFIT JANUARY INVOICE PAYMENT UTILITY BILL,utilities
cinema pay Apollo Cinema,entertainment
order payment online order,shopping
Enefit May utility payment,utilities
payroll wage transfer,salary
bank transfer elektrilevi,utilities
enefit bank transfer utility payment,utilities
LANDLORD FEBRUARY RENTAL PAYMENT,rent
zalando online purchase,shopping
euronics online order,shopping
elektrilevi utility payment utility bill,utilities
euronics bank transfer,shopping
RENTAL AGENCY BANK TRANSFER,rent
online order,shopping
Forus Taxi ride pay travel pay,transport
Rental Agency rental pay,rent
FEBRUARY SUBSCRIPTION PAYMENT,subscription
Spotify service payment,entertainment
NETFLIX BANK TRANSFER,entertainment
lidl grocery payment,groceries
bolt travel payment ride invoice,transport
SELVER INVOICE PAYMENT,groceries
recurring subscription Apple,subscription
Hesburger restaurant payment,restaurant
PLAYSTATION CARD PAYMENT,entertainment
Amazon service pay online purchase,shopping
Enefit utility bill,utilities
Lidl supermarket pay supermarket pay,groceries
Steam card pay,entertainment
mcdonalds cafe purchase,restaurant
Property Management apartment rent,rent
TELIA OCTOBER UTILITY BILL,utilities
SERVICE PAYMENT LIDL,groceries
YOUTUBE SUBSCRIPTION PAYMENT MONTHLY SUBSCRIPTION PAYMENT,subscription
apotheka doctor bill,healthcare
zalando online purchase,shopping
Elektrilevi July service pay utility bill,utilities
selver grocery store purchase,groceries
Payroll February salary payment,salary
Uber ride pay,transport
ride payment travel payment Bolt,transport
Selver invoice pay,groceries
ARVUTITARK ONLINE SHOPPING,shopping
APPLE SERVICE PAYMENT,subscription
PROPERTY MANAGEMENT RENT PAYMENT APARTMENT RENT,rent
PLAYSTATION CONCERT TICKET,entertainment
SERVICE PAYMENT AMAZON,shopping
Forus Taxi card payment,transport
Apple order payment,shopping
Euronics invoice pay,shopping
Apotheka invoice payment,healthcare
MICROSOFT SERVICE PAYMENT SUBSCRIPTION PAYMENT,subscription
Selver grocery payment,groceries
card payment amazon,shopping
Spotify game purchase,entertainment
TRAVEL INVOICE,transport
RECURRING SUBSCRIPTION MICROSOFT MONTHLY SUBSCRIPTION PAYMENT,subscription
STEAM CONCERT TICKET,entertainment
Property Management July rent payment rent payment,rent
landlord november rental payment apartment rent,rent
PLAYSTATION MOVIE TICKET,entertainment
grocery store purchase grocery payment,groceries
supermarket payment grocery payment,groceries
Confido pharmacy purchase pharmacy purchase,healthcare
service payment Lidl,groceries
subscription pay,subscription
travel invoice,transport
vapiano food delivery order restaurant payment,restaurant
PAYROLL DECEMBER WAGE TRANSFER,salary
Zalando online shopping,shopping
Rental Agency rent payment rent payment,rent
Telia September monthly subscription payment,subscription
elisa utility bill utility bill,utilities
ENEFIT UTILITY BILL,utilities
PLAYSTATION MOVIE TICKET CINEMA PAYMENT,entertainment
August sub payment monthly sub payment,subscription
EURONICS BANK TRANSFER,shopping
RENTAL AGENCY FEBRUARY MONTHLY RENT RENTAL PAYMENT,rent
Apotheka inv payment pharmacy purchase,healthcare
APPLE INVOICE PAYMENT,shopping
apotheka bank transfer medical payment,healthcare
enefit utility bill,utilities
joyce service payment,restaurant
FORUS TAXI TRAVEL PAYMENT,transport
Apotheka card pay,healthcare
Bolt travel payment,transport
Lidl grocery pay,groceries
Vapiano service pay,restaurant
medical payment,healthcare
Microsoft monthly sub payment,subscription
ELISA UTILITY PAYMENT,utilities
ride pay Uber bank transfer,transport
bank transfer Apotheka,healthcare
salary pay salary pay,salary
JOYCE FOOD DELIVERY ORDER,restaurant
INVOICE PAYMENT BOLT,transport
Netflix movie ticket,entertainment
card payment lidl,groceries
synlab medical payment,healthcare
microsoft card payment,subscription
Elisa bank transfer,utilities
Zalando order payment,shopping
EMPLOYER MONTHLY SALARY,salary
Rental Agency card payment,rent
Vapiano invoice payment,restaurant
pharmacy purchase,healthcare
grocery payment,groceries
Telia service payment,utilities
Elektrilevi service payment,utilities
TRAVEL INVOICE TRAVEL INVOICE BOLT,transport
JULY SUBSCRIPTION PAYMENT MICROSOFT,subscription
BENU MEDICAL PAYMENT DOCTOR BILL,healthcare
travel pay,transport
joyce service payment,restaurant
December Telia invoice payment,utilities
coop bank transfer grocery payment,groceries
Telia service pay utility bill,utilities
Benu medical pay,healthcare
Apotheka medical pay pharmacy purchase,healthcare
CONFIDO PHARMACY PURCHASE MEDICAL PAYMENT,healthcare
travel payment,transport
payroll september salary payment,salary
ride payment Forus Taxi,transport
movie ticket,entertainment
playstation game purchase cinema payment,entertainment
PLAYSTATION CONCERT TICKET,entertainment
restaurant pay cafe purchase,restaurant
SELVER GROCERY STORE PURCHASE,groceries
Microsoft monthly subscription payment,subscription
invoice payment confido medical payment,healthcare
Rental Agency monthly rent,rent
Vapiano cafe purchase,restaurant
service pay Arvutitark,shopping
bolt travel payment,transport
DOCTOR BILL,healthcare
Apollo Cinema game purchase,entertainment
Forus Taxi travel pay,transport
Vapiano bank transfer,restaurant
SELVER SUPERMARKET PAYMENT GROCERY STORE PURCHASE,groceries
Apollo Cinema movie ticket,entertainment
monthly sub payment,subscription
DECEMBER BANK TRANSFER TELIA,utilities
subscription payment,subscription
card payment Spotify,entertainment
FORUS TAXI CARD PAYMENT RIDE PAYMENT,transport
Joyce bank transfer,restaurant
BANK TRANSFER RIDE INVOICE FORUS TAXI,transport
Telia recurring subscription,subscription
Elektrilevi January invoice pay utility bill,utilities
TELIA UTILITY BILL,utilities
vapiano cafe purchase,restaurant
apotheka medical payment medical payment,healthcare
bolt ride invoice,transport
APOLLO CINEMA MOVIE TICKET,entertainment
Apotheka card payment,healthcare
ELEKTRILEVI JUNE UTILITY BILL,utilities
ELEKTRILEVI MAY UTILITY BILL,utilities
ZALANDO CARD PAYMENT,shopping
joyce restaurant payment,restaurant
PROPERTY MANAGEMENT JUNE BANK TRANSFER,rent
Selver supermarket payment,groceries
maxima bank transfer,groceries
Company Ltd April invoice pay,salary
invoice pay Payroll monthly salary,salary
Employer August invoice payment,salary
bank transfer property management,rent
Amazon monthly sub payment sub payment,subscription
forus taxi travel payment,transport
online purchase online purchase,shopping
COMPANY LTD JANUARY SALARY PAYMENT,salary
recurring subscription monthly subscription payment netflix,subscription
AUGUST CARD PAYMENT,rent
SYNLAB PHARMACY PURCHASE DOCTOR BILL,healthcare
spotify concert ticket,entertainment
grocery payment card payment Lidl,groceries
card payment Netflix June,subscription
Elisa August invoice payment utility bill,utilities
service pay Elisa,utilities
invoice pay Maxima,groceries
MCDONALDS DINNER BILL,restaurant
NETFLIX BANK TRANSFER CONCERT TICKET,entertainment
Forus Taxi travel invoice ride invoice,transport
apollo cinema movie ticket movie ticket,entertainment
cafe purchase,restaurant
bank transfer arvutitark,shopping
Netflix monthly subscription pay subscription pay,subscription
SPOTIFY SEPTEMBER RECURRING SUBSCRIPTION,subscription
Employer August wage transfer monthly salary,salary
rental agency invoice payment,rent
SALARY PAYMENT,salary
netflix june service payment,subscription
ELISA NOVEMBER UTILITY PAYMENT,utilities
RENTAL AGENCY BANK TRANSFER,rent
Joyce bank transfer,restaurant
YouTube subscription pay,subscription
cafe purchase cafe purchase,restaurant
AUGUST RENT PAYMENT RENTAL PAYMENT,rent
Microsoft recurring sub,subscription
supermarket pay,groceries
service payment Rental Agency rent payment,rent
Uber travel inv travel inv,transport
steam concert ticket,entertainment
bolt invoice payment,transport
apple online order,shopping
Netflix card payment,entertainment
subscription payment bank transfer Spotify,subscription
Steam bank transfer,entertainment
MAY SALARY PAYMENT SALARY PAYMENT,salary
Apollo Cinema payment,entertainment
TELIA FEBRUARY UTILITY PAYMENT,utilities
ELISA SERVICE PAYMENT UTILITY PAYMENT,utilities
Elektrilevi utility pay,utilities
enefit april card payment utility payment,utilities
COMPANY LTD SALARY PAYMENT,salary
Steam game purchase,entertainment
BENU DOCTOR BILL,healthcare
Enefit utility pay,utilities
Microsoft November sub payment,subscription
amazon service payment,subscription
SALARY PAYMENT PAYROLL,salary
Employer monthly salary,salary
NETFLIX SERVICE PAYMENT,entertainment
SERVICE PAYMENT APOTHEKA,healthcare
FORUS TAXI RIDE INVOICE,transport
Selver grocery payment,groceries
ride pay,transport
Company Ltd December monthly salary wage transfer,salary
McDonalds restaurant payment dinner bill,restaurant
DINNER BILL,restaurant
Property Management rental pay,rent
ELISA UTILITY PAYMENT,utilities
subscription pay,subscription
concert ticket Apollo Cinema movie ticket,entertainment
Maxima grocery store purchase,groceries
amazon online shopping,shopping
company ltd wage transfer,salary
monthly subscription payment apple march,subscription
travel payment,transport
service payment Uber,transport
LANDLORD RENT PAYMENT,rent
Spotify cinema payment cinema payment,entertainment
grocery payment supermarket payment,groceries
MCDONALDS DINNER BILL,restaurant
service pay Forus Taxi,transport
spotify concert ticket,entertainment
uber service payment,transport
Vapiano food delivery order,restaurant
bank transfer steam,entertainment
AMAZON INVOICE PAYMENT,shopping
Maxima supermarket pay,groceries
Euronics online purchase,shopping
telia bank transfer utility payment,utilities
travel invoice,transport
apartment rent card pay Rental Agency,rent
Rental Agency July rental payment,rent
enefit bank transfer utility bill,utilities
bolt ride payment,transport
Hesburger cafe purchase,restaurant
NETFLIX INVOICE PAYMENT CONCERT TICKET,entertainment
Selver supermarket payment,groceries
Confido doctor bill doctor bill,healthcare
RENTAL AGENCY AUGUST MONTHLY RENT,rent
zalando online shopping,shopping
BANK TRANSFER SYNLAB,healthcare
Forus Taxi travel payment travel payment,transport
SERVICE PAYMENT BOLT,transport
PAYROLL WAGE TRANSFER,salary
123456,shopping
forus taxi ride invoice,transport
medical pay,healthcare
Lidl grocery payment,groceries
inv payment Landlord,rent
ELEKTRILEVI UTILITY BILL UTILITY PAYMENT,utilities
monthly subscription payment,subscription
APARTMENT RENT,rent
property management january monthly rent,rent
Elisa card pay,utilities
March rental pay,rent
Employer inv payment,salary
SELVER GROCERY STORE PURCHASE,groceries
Property Management October monthly rent,rent
Payroll monthly salary,salary
APOTHEKA BANK TRANSFER,healthcare
APARTMENT RENT PROPERTY MANAGEMENT,rent
Payroll card pay,salary
FORUS TAXI TRAVEL PAYMENT,transport
Landlord January service payment,rent
concert ticket cinema payment playstation,entertainment
recurring sub,subscription
EMPLOYER JANUARY MONTHLY SALARY,salary
Company Ltd wage transfer,salary
EMPLOYER WAGE TRANSFER,salary
company ltd august monthly salary,salary
amazon recurring subscription,subscription
online order,shopping
Uber ride invoice travel invoice,transport
Microsoft subscription payment April,subscription
PAYROLL MONTHLY SALARY,salary
APOTHEKA PHARMACY PURCHASE MEDICAL PAYMENT,healthcare
company ltd january service payment,salary
MCDONALDS RESTAURANT PAYMENT CAFE PURCHASE,restaurant
Landlord rental payment,rent
netflix concert ticket,entertainment
RENTAL AGENCY APARTMENT RENT,rent
bolt travel invoice,transport
Synlab card pay,healthcare
service payment lidl,groceries
COOP GROCERY STORE PURCHASE SUPERMARKET PAYMENT,groceries
Bolt travel pay,transport
utility pay utility pay,utilities
Spotify December sub payment,subscription
PAYROLL WAGE TRANSFER,salary
Company Ltd salary payment,salary
maxima card payment,groceries
joyce bank transfer,restaurant
Property Management December rent payment,rent
Landlord card payment rent payment,rent
Amazon order pay,shopping
GROCERY STORE PURCHASE,groceries
Steam cinema payment cinema payment,entertainment
PROPERTY MANAGEMENT CARD PAYMENT,rent
bank transfer November Amazon,subscription
invoice payment vapiano,restaurant
lunch payment,restaurant
Company Ltd salary payment salary payment,salary
MAY WAGE TRANSFER,salary
Lidl supermarket pay,groceries
rent payment,rent
hesburger dinner bill,restaurant
property management rent payment,rent
DOCTOR BILL,healthcare
RENTAL AGENCY RENT PAYMENT,rent
youtube recurring subscription monthly subscription payment,subscription
uber travel payment,transport
invoice pay March,subscription
COOP SERVICE PAYMENT,groceries
card pay Maxima,groceries
utility payment,utilities
ELISA UTILITY PAYMENT,utilities
Joyce restaurant payment,restaurant
Enefit utility bill,utilities
Landlord May bank transfer,rent
monthly salary,salary
uber ride invoice,transport
Company Ltd invoice payment,salary
restaurant pay,restaurant
Rental Agency bank transfer,rent
elisa utility payment utility bill,utilities
Landlord service pay,rent
confido pharmacy purchase doctor bill,healthcare
april monthly salary,salary
concert ticket playstation,entertainment
bank transfer Enefit,utilities
confido medical payment,healthcare
pharmacy purchase,healthcare
travel payment,transport
TELIA SEPTEMBER UTILITY PAYMENT,utilities
maxima grocery payment,groceries
CONFIDO MEDICAL PAYMENT,healthcare
SELVER SUPERMARKET PAYMENT,groceries
Elisa utility bill utility pay,utilities
APARTMENT RENT,rent
PLAYSTATION BANK TRANSFER CONCERT TICKET,entertainment
UBER TRAVEL PAYMENT,transport
Coop inv payment,groceries
Zalando online order,shopping
apollo cinema payment,entertainment
Property Management monthly rent,rent
PROPERTY MANAGEMENT MONTHLY RENT,rent
Company Ltd wage transfer wage transfer,salary
August card payment monthly rent,rent
Benu doctor bill,healthcare
Enefit invoice pay March utility bill,utilities
elisa utility bill,utilities
february monthly salary company ltd,salary
RIDE PAYMENT RIDE PAYMENT,transport
employer monthly salary wage transfer,salary
CONFIDO MEDICAL PAYMENT DOCTOR BILL,healthcare
dinner bill Joyce,restaurant
card payment Spotify concert ticket,entertainment
monthly rent,rent
MONTHLY RENT,rent
COMPANY LTD WAGE TRANSFER,salary
Landlord apartment rent pay,rent
recurring subscription monthly subscription pay Apple,subscription
HESBURGER CAFE PURCHASE,restaurant
Bolt invoice pay travel pay,transport
vapiano bank transfer dinner bill,restaurant
Euronics order pay,shopping
Telia utility pay,utilities
WAGE TRANSFER JANUARY,salary
travel payment,transport
Netflix card payment,entertainment
Arvutitark invoice pay,shopping
apple online purchase,shopping
TELIA SERVICE PAYMENT,utilities
APOTHEKA PHARMACY PURCHASE,healthcare
VAPIANO BANK TRANSFER RESTAURANT PAYMENT,restaurant
McDonalds cafe purchase,restaurant
rental agency august apartment rent,rent
Forus Taxi ride pay,transport
Employer invoice payment wage transfer,salary
UBER TRAVEL INVOICE,transport
SYNLAB MEDICAL PAYMENT,healthcare
Joyce lunch pay,restaurant
Landlord rent pay,rent
Coop grocery pay,groceries
wage transfer salary payment company ltd july,salary
Netflix invoice payment,entertainment
lidl grocery payment,groceries
Selver grocery store purchase,groceries
PROPERTY MANAGEMENT MONTHLY RENT,rent
Apollo Cinema payment,entertainment
DECEMBER UTILITY BILL,utilities
BENU BANK TRANSFER,healthcare
Landlord service pay,rent
bank transfer euronics,shopping
Selver grocery payment,groceries
movie ticket concert ticket steam,entertainment
Apotheka medical pay,healthcare
PLAYSTATION GAME PURCHASE,entertainment
RENT PAYMENT RENTAL PAYMENT,rent
Enefit utility bill,utilities
Company Ltd March wage transfer monthly salary,salary
travel payment,transport
lidl bank transfer,groceries
amazon recurring subscription,subscription
Elisa utility bill,utilities
McDonalds inv payment cafe purchase,restaurant
CONFIDO DOCTOR BILL,healthcare
Telia June recurring subscription,subscription
PHARMACY PURCHASE,healthcare
Company Ltd July salary payment,salary
