purpose_text,transaction_type
employer august monthly salary,salary
apollo cinema movie ticket,entertainment
enefit november card payment,utilities
landlord august rent payment,rent
steam movie ticket,entertainment
coop service payment,groceries
maxima grocery store purchase,groceries
playstation service payment,entertainment
apotheka medical payment,healthcare
arvutitark online purchase,shopping
monthly subscription payment microsoft,subscription
elektrilevi october card payment,utilities
vapiano service pay food delivery order,restaurant
maxima grocery pay,groceries
landlord august monthly rent,rent
apple monthly subscription payment,subscription
synlab card payment medical payment,healthcare
selver supermarket payment,groceries
euronics order payment,shopping
employer november wage transfer,salary
steam game purchase,entertainment
mcdonalds dinner bill,restaurant
hesburger cafe purchase,restaurant
selver grocery payment grocery store purchase,groceries
mcdonalds service pay,restaurant
forus taxi ride invoice,transport
service payment apotheka,healthcare
rental agency february monthly rent rental payment,rent
invoice pay youtube,subscription
coop bank transfer,groceries
playstation invoice pay,entertainment
uber travel pay,transport
company ltd september monthly salary,salary
utility bill,utilities
hesburger service payment,restaurant
benu service pay,healthcare
apollo cinema payment,entertainment
selver grocery store purchase,groceries
ride pay,transport
mcdonalds restaurant payment,restaurant
spotify movie ticket,entertainment
bank transfer netflix subscription payment,subscription
elektrilevi utility bill,utilities
joyce card payment cafe purchase,restaurant
rent payment,rent
online purchase,shopping
rental agency invoice payment,rent
apple online shopping,shopping
lidl invoice pay,groceries
telia card payment,subscription
card pay apple online shopping,shopping
euronics online shopping,shopping
synlab doctor bill,healthcare
employer inv payment,salary
confido medical payment,healthcare
cinema payment,entertainment
concert ticket playstation,entertainment
coop grocery store purchase,groceries
benu doctor bill,healthcare
benu card payment doctor bill,healthcare
company ltd invoice pay,salary
arvutitark online order,shopping
salary payment,salary
elektrilevi october card pay,utilities
euronics order pay,shopping
benu pharmacy purchase,healthcare
telia utility payment utility payment,utilities
apollo cinema concert ticket,entertainment
payroll invoice pay,salary
ride invoice bolt,transport
mcdonalds restaurant payment,restaurant
apollo cinema bank transfer,entertainment
apple monthly subscription payment,subscription
euronics online shopping online shopping,shopping
grocery pay grocery store purchase,groceries
payroll november card pay,salary
apple online shopping,shopping
apple service pay,shopping
service payment arvutitark,shopping
enefit january invoice payment utility bill,utilities
cinema pay apollo cinema,entertainment
order payment online order,shopping
enefit may utility payment,utilities
payroll wage transfer,salary
bank transfer elektrilevi,utilities
enefit bank transfer utility payment,utilities
landlord february rental payment,rent
zalando online purchase,shopping
euronics online order,shopping
elektrilevi utility payment utility bill,utilities
euronics bank transfer,shopping
rental agency bank transfer,rent
online order,shopping
forus taxi ride pay travel pay,transport
rental agency rental pay,rent
february subscription payment,subscription
spotify service payment,entertainment
netflix bank transfer,entertainment
lidl grocery payment,groceries
bolt travel payment ride invoice,transport
selver invoice payment,groceries
recurring subscription apple,subscription
hesburger restaurant payment,restaurant
playstation card payment,entertainment
amazon service pay online purchase,shopping
enefit utility bill,utilities
lidl supermarket pay supermarket pay,groceries
steam card pay,entertainment
mcdonalds cafe purchase,restaurant
property management apartment rent,rent
telia october utility bill,utilities
service payment lidl,groceries
youtube subscription payment monthly subscription payment,subscription
apotheka doctor bill,healthcare
zalando online purchase,shopping
elektrilevi july service pay utility bill,utilities
selver grocery store purchase,groceries
payroll february salary payment,salary
uber ride pay,transport
ride payment travel payment bolt,transport
selver invoice pay,groceries
arvutitark online shopping,shopping
apple service payment,subscription
property management rent payment apartment rent,rent
playstation concert ticket,entertainment
service payment amazon,shopping
forus taxi card payment,transport
apple order payment,shopping
euronics invoice pay,shopping
apotheka invoice payment,healthcare
microsoft service payment subscription payment,subscription
selver grocery payment,groceries
card payment amazon,shopping
spotify game purchase,entertainment
travel invoice,transport
recurring subscription microsoft monthly subscription payment,subscription
steam concert ticket,entertainment
property management july rent payment rent payment,rent
landlord november rental payment apartment rent,rent
playstation movie ticket,entertainment
grocery store purchase grocery payment,groceries
supermarket payment grocery payment,groceries
confido pharmacy purchase pharmacy purchase,healthcare
service payment lidl,groceries
subscription pay,subscription
travel invoice,transport
vapiano food delivery order restaurant payment,restaurant
payroll december wage transfer,salary
zalando online shopping,shopping
rental agency rent payment rent payment,rent
telia september monthly subscription payment,subscription
elisa utility bill utility bill,utilities
enefit utility bill,utilities
playstation movie ticket cinema payment,entertainment
august sub payment monthly sub payment,subscription
euronics bank transfer,shopping
rental agency february monthly rent rental payment,rent
apotheka inv payment pharmacy purchase,healthcare
apple invoice payment,shopping
apotheka bank transfer medical payment,healthcare
enefit utility bill,utilities
joyce service payment,restaurant
forus taxi travel payment,transport
apotheka card pay,healthcare
bolt travel payment,transport
lidl grocery pay,groceries
vapiano service pay,restaurant
medical payment,healthcare
microsoft monthly sub payment,subscription
elisa utility payment,utilities
ride pay uber bank transfer,transport
bank transfer apotheka,healthcare
salary pay salary pay,salary
joyce food delivery order,restaurant
invoice payment bolt,transport
netflix movie ticket,entertainment
card payment lidl,groceries
synlab medical payment,healthcare
microsoft card payment,subscription
elisa bank transfer,utilities
zalando order payment,shopping
employer monthly salary,salary
rental agency card payment,rent
vapiano invoice payment,restaurant
pharmacy purchase,healthcare
grocery payment,groceries
telia service payment,utilities
elektrilevi service payment,utilities
travel invoice travel invoice bolt,transport
july subscription payment microsoft,subscription
benu medical payment doctor bill,healthcare
travel pay,transport
joyce service payment,restaurant
december telia invoice payment,utilities
coop bank transfer grocery payment,groceries
telia service pay utility bill,utilities
benu medical pay,healthcare
apotheka medical pay pharmacy purchase,healthcare
confido pharmacy purchase medical payment,healthcare
travel payment,transport
payroll september salary payment,salary
ride payment forus taxi,transport
movie ticket,entertainment
playstation game purchase cinema payment,entertainment
playstation concert ticket,entertainment
restaurant pay cafe purchase,restaurant
selver grocery store purchase,groceries
microsoft monthly subscription payment,subscription
invoice payment confido medical payment,healthcare
rental agency monthly rent,rent
vapiano cafe purchase,restaurant
service pay arvutitark,shopping
bolt travel payment,transport
doctor bill,healthcare
apollo cinema game purchase,entertainment
forus taxi travel pay,transport
vapiano bank transfer,restaurant
selver supermarket payment grocery store purchase,groceries
apollo cinema movie ticket,entertainment
monthly sub payment,subscription
december bank transfer telia,utilities
subscription payment,subscription
card payment spotify,entertainment
forus taxi card payment ride payment,transport
joyce bank transfer,restaurant
bank transfer ride invoice forus taxi,transport
telia recurring subscription,subscription
elektrilevi january invoice pay utility bill,utilities
telia utility bill,utilities
vapiano cafe purchase,restaurant
apotheka medical payment medical payment,healthcare
bolt ride invoice,transport
apollo cinema movie ticket,entertainment
apotheka card payment,healthcare
elektrilevi june utility bill,utilities
elektrilevi may utility bill,utilities
zalando card payment,shopping
joyce restaurant payment,restaurant
property management june bank transfer,rent
selver supermarket payment,groceries
maxima bank transfer,groceries
company ltd april invoice pay,salary
invoice pay payroll monthly salary,salary
employer august invoice payment,salary
bank transfer property management,rent
amazon monthly sub payment sub payment,subscription
forus taxi travel payment,transport
online purchase online purchase,shopping
company ltd january salary payment,salary
recurring subscription monthly subscription payment netflix,subscription
august card payment,rent
synlab pharmacy purchase doctor bill,healthcare
spotify concert ticket,entertainment
grocery payment card payment lidl,groceries
card payment netflix june,subscription
elisa august invoice payment utility bill,utilities
service pay elisa,utilities
invoice pay maxima,groceries
mcdonalds dinner bill,restaurant
netflix bank transfer concert ticket,entertainment
forus taxi travel invoice ride invoice,transport
apollo cinema movie ticket movie ticket,entertainment
cafe purchase,restaurant
bank transfer arvutitark,shopping
netflix monthly subscription pay subscription pay,subscription
spotify september recurring subscription,subscription
employer august wage transfer monthly salary,salary
rental agency invoice payment,rent
salary payment,salary
netflix june service payment,subscription
elisa november utility payment,utilities
rental agency bank transfer,rent
joyce bank transfer,restaurant
youtube subscription pay,subscription
cafe purchase cafe purchase,restaurant
august rent payment rental payment,rent
microsoft recurring sub,subscription
supermarket pay,groceries
service payment rental agency rent payment,rent
uber travel inv travel inv,transport
steam concert ticket,entertainment
bolt invoice payment,transport
apple online order,shopping
netflix card payment,entertainment
subscription payment bank transfer spotify,subscription
steam bank transfer,entertainment
may salary payment salary payment,salary
apollo cinema payment,entertainment
telia february utility payment,utilities
elisa service payment utility payment,utilities
elektrilevi utility pay,utilities
enefit april card payment utility payment,utilities
company ltd salary payment,salary
steam game purchase,entertainment
benu doctor bill,healthcare
enefit utility pay,utilities
microsoft november sub payment,subscription
amazon service payment,subscription
salary payment payroll,salary
employer monthly salary,salary
netflix service payment,entertainment
service payment apotheka,healthcare
forus taxi ride invoice,transport
selver grocery payment,groceries
ride pay,transport
company ltd december monthly salary wage transfer,salary
mcdonalds restaurant payment dinner bill,restaurant
dinner bill,restaurant
property management rental pay,rent
elisa utility payment,utilities
subscription pay,subscription
concert ticket apollo cinema movie ticket,entertainment
maxima grocery store purchase,groceries
amazon online shopping,shopping
company ltd wage transfer,salary
monthly subscription payment apple march,subscription
travel payment,transport
service payment uber,transport
landlord rent payment,rent
spotify cinema payment cinema payment,entertainment
grocery payment supermarket payment,groceries
mcdonalds dinner bill,restaurant
service pay forus taxi,transport
spotify concert ticket,entertainment
uber service payment,transport
vapiano food delivery order,restaurant
bank transfer steam,entertainment
amazon invoice payment,shopping
maxima supermarket pay,groceries
euronics online purchase,shopping
telia bank transfer utility payment,utilities
travel invoice,transport
apartment rent card pay rental agency,rent
rental agency july rental payment,rent
enefit bank transfer utility bill,utilities
bolt ride payment,transport
hesburger cafe purchase,restaurant
netflix invoice payment concert ticket,entertainment
selver supermarket payment,groceries
confido doctor bill doctor bill,healthcare
rental agency august monthly rent,rent
zalando online shopping,shopping
bank transfer synlab,healthcare
forus taxi travel payment travel payment,transport
service payment bolt,transport
payroll wage transfer,salary
123456,shopping
forus taxi ride invoice,transport
medical pay,healthcare
lidl grocery payment,groceries
inv payment landlord,rent
elektrilevi utility bill utility payment,utilities
monthly subscription payment,subscription
apartment rent,rent
property management january monthly rent,rent
elisa card pay,utilities
march rental pay,rent
employer inv payment,salary
selver grocery store purchase,groceries
property management october monthly rent,rent
payroll monthly salary,salary
apotheka bank transfer,healthcare
apartment rent property management,rent
payroll card pay,salary
forus taxi travel payment,transport
landlord january service payment,rent
concert ticket cinema payment playstation,entertainment
recurring sub,subscription
employer january monthly salary,salary
company ltd wage transfer,salary
employer wage transfer,salary
company ltd august monthly salary,salary
amazon recurring subscription,subscription
online order,shopping
uber ride invoice travel invoice,transport
microsoft subscription payment april,subscription
payroll monthly salary,salary
apotheka pharmacy purchase medical payment,healthcare
company ltd january service payment,salary
mcdonalds restaurant payment cafe purchase,restaurant
landlord rental payment,rent
netflix concert ticket,entertainment
rental agency apartment rent,rent
bolt travel invoice,transport
synlab card pay,healthcare
service payment lidl,groceries
coop grocery store purchase supermarket payment,groceries
bolt travel pay,transport
utility pay utility pay,utilities
spotify december sub payment,subscription
payroll wage transfer,salary
company ltd salary payment,salary
maxima card payment,groceries
joyce bank transfer,restaurant
property management december rent payment,rent
landlord card payment rent payment,rent
amazon order pay,shopping
grocery store purchase,groceries
steam cinema payment cinema payment,entertainment
property management card payment,rent
bank transfer november amazon,subscription
invoice payment vapiano,restaurant
lunch payment,restaurant
company ltd salary payment salary payment,salary
may wage transfer,salary
lidl supermarket pay,groceries
rent payment,rent
hesburger dinner bill,restaurant
property management rent payment,rent
doctor bill,healthcare
rental agency rent payment,rent
youtube recurring subscription monthly subscription payment,subscription
uber travel payment,transport
invoice pay march,subscription
coop service payment,groceries
card pay maxima,groceries
utility payment,utilities
elisa utility payment,utilities
joyce restaurant payment,restaurant
enefit utility bill,utilities
landlord may bank transfer,rent
monthly salary,salary
uber ride invoice,transport
company ltd invoice payment,salary
restaurant pay,restaurant
rental agency bank transfer,rent
elisa utility payment utility bill,utilities
landlord service pay,rent
confido pharmacy purchase doctor bill,healthcare
april monthly salary,salary
concert ticket playstation,entertainment
bank transfer enefit,utilities
confido medical payment,healthcare
pharmacy purchase,healthcare
travel payment,transport
telia september utility payment,utilities
maxima grocery payment,groceries
confido medical payment,healthcare
selver supermarket payment,groceries
elisa utility bill utility pay,utilities
apartment rent,rent
playstation bank transfer concert ticket,entertainment
uber travel payment,transport
coop inv payment,groceries
zalando online order,shopping
apollo cinema payment,entertainment
property management monthly rent,rent
property management monthly rent,rent
company ltd wage transfer wage transfer,salary
august card payment monthly rent,rent
benu doctor bill,healthcare
enefit invoice pay march utility bill,utilities
elisa utility bill,utilities
february monthly salary company ltd,salary
ride payment ride payment,transport
employer monthly salary wage transfer,salary
confido medical payment doctor bill,healthcare
dinner bill joyce,restaurant
card payment spotify concert ticket,entertainment
monthly rent,rent
monthly rent,rent
company ltd wage transfer,salary
landlord apartment rent pay,rent
recurring subscription monthly subscription pay apple,subscription
hesburger cafe purchase,restaurant
bolt invoice pay travel pay,transport
vapiano bank transfer dinner bill,restaurant
euronics order pay,shopping
telia utility pay,utilities
wage transfer january,salary
travel payment,transport
netflix card payment,entertainment
arvutitark invoice pay,shopping
apple online purchase,shopping
telia service payment,utilities
apotheka pharmacy purchase,healthcare
vapiano bank transfer restaurant payment,restaurant
mcdonalds cafe purchase,restaurant
rental agency august apartment rent,rent
forus taxi ride pay,transport
employer invoice payment wage transfer,salary
uber travel invoice,transport
synlab medical payment,healthcare
joyce lunch pay,restaurant
landlord rent pay,rent
coop grocery pay,groceries
wage transfer salary payment company ltd july,salary
netflix invoice payment,entertainment
lidl grocery payment,groceries
selver grocery store purchase,groceries
property management monthly rent,rent
apollo cinema payment,entertainment
december utility bill,utilities
benu bank transfer,healthcare
landlord service pay,rent
bank transfer euronics,shopping
selver grocery payment,groceries
movie ticket concert ticket steam,entertainment
apotheka medical pay,healthcare
playstation game purchase,entertainment
rent payment rental payment,rent
enefit utility bill,utilities
company ltd march wage transfer monthly salary,salary
travel payment,transport
lidl bank transfer,groceries
amazon recurring subscription,subscription
elisa utility bill,utilities
mcdonalds inv payment cafe purchase,restaurant
confido doctor bill,healthcare
telia june recurring subscription,subscription
pharmacy purchase,healthcare
company ltd july salary payment,salary
apple recurring subscription,subscription
forus taxi invoice payment,transport
spotify bank transfer,entertainment
rental agency november rent payment,rent
spotify subscription payment,subscription
apple order pay,shopping
uber ride payment,transport
playstation game purchase concert ticket,entertainment
travel payment travel inv,transport
monthly subscription payment,subscription
coop grocery payment,groceries
playstation concert ticket,entertainment
forus taxi travel payment,transport
joyce lunch payment restaurant payment,restaurant
zalando online purchase,shopping
netflix concert ticket,entertainment
hesburger bank transfer,restaurant
netflix game purchase,entertainment
landlord monthly rent,rent
service payment company ltd,salary
ride pay,transport
apple service payment,shopping
elisa utility payment,utilities
payroll june wage transfer,salary
uber travel inv,transport
elektrilevi utility payment,utilities
arvutitark order payment,shopping
apollo cinema concert ticket,entertainment
arvutitark card payment,shopping
coop grocery pay,groceries
euronics card payment,shopping
utility bill june elektrilevi,utilities
euronics order pay,shopping
vapiano lunch payment,restaurant
landlord rental payment,rent
bank transfer youtube,subscription
zalando order payment,shopping
joyce service payment,restaurant
apple online purchase online shopping,shopping
apollo cinema concert ticket,entertainment
elisa utility payment,utilities
apple february subscription payment,subscription
confido pharmacy purchase,healthcare
coop card payment grocery store purchase,groceries
confido bank transfer,healthcare
coop bank transfer,groceries
medical pay apotheka,healthcare
benu medical payment,healthcare
coop inv payment supermarket payment,groceries
employer january salary payment monthly salary,salary
rental agency card payment,rent
property management june card pay,rent
company ltd wage transfer,salary
mcdonalds lunch payment lunch payment,restaurant
restaurant payment,restaurant
uber travel invoice,transport
zalando online shopping,shopping
microsoft recurring sub,subscription
service payment apotheka,healthcare
service payment property management,rent
online order amazon,shopping
payroll january monthly salary,salary
elisa card payment utility bill,utilities
card pay elisa,utilities
spotify monthly subscription payment recurring subscription,subscription
card payment euronics,shopping
april monthly subscription payment,subscription
confido medical payment,healthcare
telia utility payment,utilities
elektrilevi utility payment,utilities
landlord card payment,rent
elektrilevi card payment,utilities
employer invoice payment,salary
payroll wage transfer,salary
concert ticket,entertainment
apple february subscription payment,subscription
card payment apotheka,healthcare
landlord apartment rent,rent
travel invoice,transport
benu medical payment,healthcare
pharmacy purchase,healthcare
card payment confido,healthcare
coop bank transfer,groceries
telia monthly subscription pay subscription pay,subscription
rental agency october rental payment,rent
mcdonalds dinner bill,restaurant
subscription pay march apple subscription pay,subscription
wage transfer,salary
bolt ride inv,transport
landlord july rental payment,rent
netflix movie ticket,entertainment
lidl grocery store purchase,groceries
company ltd monthly salary,salary
synlab pharmacy purchase,healthcare
employer august wage transfer,salary
elektrilevi utility payment,utilities
grocery store purchase,groceries
landlord apartment rent,rent
company ltd wage transfer,salary
landlord bank transfer,rent
elektrilevi utility pay,utilities
bank transfer steam,entertainment
april utility bill,utilities
apollo cinema invoice payment game purchase,entertainment
zalando online shopping,shopping
youtube recurring sub,subscription
food delivery order,restaurant
employer monthly salary service pay,salary
elisa card pay,utilities
spotify recurring subscription,subscription
cinema payment service payment playstation,entertainment
telia february bank transfer,utilities
elektrilevi card payment utility bill,utilities
grocery store purchase,groceries
rental agency january card payment,rent
apple january card payment,subscription
grocery payment supermarket payment,groceries
invoice payment joyce,restaurant
apollo cinema card payment,entertainment
mcdonalds restaurant payment,restaurant
playstation movie ticket cinema payment,entertainment
grocery store purchase supermarket pay,groceries
lidl grocery payment,groceries
uber travel inv,transport
coop grocery payment,groceries
spotify service payment,subscription
confido pharmacy purchase,healthcare
steam cinema payment,entertainment
lunch payment,restaurant
service payment apple,subscription
vapiano restaurant payment,restaurant
property management apartment rent,rent
benu inv payment,healthcare
apple monthly subscription payment,subscription
employer monthly salary,salary
travel pay,transport
company ltd october salary payment,salary
coop bank transfer,groceries
travel invoice,transport
lidl supermarket payment grocery store purchase,groceries
supermarket payment,groceries
rental agency apartment rent payment,rent
order payment,shopping
coop grocery payment,groceries
service payment medical payment apotheka,healthcare
hesburger cafe purchase,restaurant
selver card pay,groceries
landlord card pay,rent
forus taxi ride pay travel pay,transport
rental agency invoice pay,rent
landlord rental pay,rent
recurring subscription,subscription
vapiano food delivery order restaurant payment,restaurant
confido doctor bill,healthcare
steam movie ticket,entertainment
telia recurring subscription,subscription
subscription payment,subscription
employer salary payment,salary
hesburger cafe purchase,restaurant
january rental payment,rent
euronics online order,shopping
arvutitark invoice payment online shopping,shopping
rental agency january rent pay,rent
employer wage transfer,salary
confido pharmacy purchase,healthcare
enefit utility bill utility payment,utilities
recurring subscription,subscription
monthly salary,salary
benu doctor bill doctor bill,healthcare
elisa may utility bill utility payment,utilities
uber card pay,transport
uber travel inv,transport
pharmacy purchase,healthcare
microsoft recurring subscription,subscription
bank transfer coop grocery store purchase,groceries
landlord rent payment,rent
joyce food delivery order,restaurant
coop bank transfer,groceries
card payment enefit,utilities
april utility pay,utilities
uber ride invoice,transport
selver service payment,groceries
may apartment rent,rent
confido medical payment doctor bill,healthcare
confido card payment medical payment,healthcare
telia inv payment,utilities
hesburger lunch payment,restaurant
employer salary payment,salary
apple may monthly subscription payment,subscription
card payment property management,rent
employer february service payment,salary
apple service payment,shopping
playstation concert ticket,entertainment
lidl card payment,groceries
invoice pay january,rent
forus taxi bank transfer,transport
game purchase,entertainment
zalando inv payment,shopping
vapiano service payment,restaurant
bolt ride payment,transport
invoice payment maxima,groceries
